,date,futures_id,contract_date,open,high,low,close,spread,spread_per,volume,settlement_price,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,rsi,bbands_upperband,bbands_middleband,bbands_lowerband,macd_macd,macd_macdsignal,macd_macdhist,atr
0,1998-07-21,TX,199809,8131.0,8131.0,8036.0,8045.0,0.0,0.0,208,8045.0,,,,,,,,,,,,,,
2,1998-07-22,TX,199809,7950.0,7950.0,7820.0,7870.0,-175.0,-2.18,360,7870.0,,,,,,,,,,,,,,
5,1998-07-23,TX,199809,7830.0,7859.0,7802.0,7825.0,-45.0,-0.57,190,7825.0,,,,,,,,,,,,,,
8,1998-07-24,TX,199809,7750.0,7835.0,7740.0,7835.0,10.0,0.13,340,7835.0,,,,,,,,,,,,,,
12,1998-07-27,TX,199809,7830.0,7835.0,7780.0,7786.0,-49.0,-0.63,150,7786.0,7872.2,,,,,,,,,,,,,
14,1998-07-28,TX,199809,7809.0,7830.0,7741.0,7742.0,-44.0,-0.57,264,7742.0,7811.6,,,,,,,,,,,,,
17,1998-07-29,TX,199809,7710.0,7729.0,7657.0,7680.0,-62.0,-0.8,323,7680.0,7773.6,,,,,,,,,,,,,
21,1998-07-30,TX,199809,7665.0,7678.0,7620.0,7638.0,-42.0,-0.55,222,7638.0,7736.2,,,,,,,,,,,,,
25,1998-07-31,TX,199809,7660.0,7683.0,7600.0,7600.0,-38.0,-0.5,257,7600.0,7689.2,,,,,,,,,,,,,
29,1998-08-01,TX,199809,7557.0,7609.0,7550.0,7609.0,9.0,0.12,378,7609.0,7653.8,7763.0,,,,,,,,,,,,
33,1998-08-03,TX,199809,7640.0,7657.0,7542.0,7552.0,-57.0,-0.75,293,7552.0,7615.8,7713.7,,,,,,,,,,,,
37,1998-08-04,TX,199809,7555.0,7600.0,7548.0,7560.0,8.0,0.11,302,7560.0,7591.8,7682.7,,,,,,,,,,,,
41,1998-08-05,TX,199809,7510.0,7520.0,7470.0,7487.0,-73.0,-0.97,455,7487.0,7561.6,7648.9,,,,,,,,,,,,
44,1998-08-06,TX,199809,7515.0,7525.0,7451.0,7462.0,-25.0,-0.33,270,7462.0,7534.0,7611.6,,,,,,,,,,,,
48,1998-08-07,TX,199809,7480.0,7520.0,7452.0,7515.0,53.0,0.71,453,7515.0,7515.2,7584.5,,,,,11.594202898550725,,,,,,,87.0
52,1998-08-10,TX,199809,7500.0,7500.0,7350.0,7365.0,-150.0,-2.0,345,7365.0,7477.8,7546.8,,,,,9.39476061427281,,,,,,,92.57142857142857
55,1998-08-11,TX,199809,7316.0,7379.0,7316.0,7360.0,-5.0,-0.07,386,7360.0,7437.8,7514.8,,,,,9.331216785147353,,,,,,,90.45918367346938
58,1998-08-12,TX,199809,7335.0,7335.0,7281.0,7330.0,-30.0,-0.41,384,7330.0,7406.4,7484.0,,,,,8.940479884428933,,,,,,,89.64067055393585
62,1998-08-13,TX,199809,7360.0,7378.0,7291.0,7291.0,-39.0,-0.53,496,7291.0,7372.2,7453.1,,,,,8.445379402999704,,,,,,,89.45205122865471
66,1998-08-14,TX,199809,7275.0,7326.0,7140.0,7320.0,29.0,0.4,528,7320.0,7333.2,7424.2,7593.6,,,,12.333024541736384,8003.767965594537,7593.6,7183.432034405464,,,,96.3483332837508
70,1998-08-15,TX,199809,7261.0,7338.0,7261.0,7300.0,-20.0,-0.27,361,7300.0,7320.2,7399.0,7556.35,,,,11.955966910980433,7929.412072583066,7556.35,7183.2879274169345,,,,94.9663094777686
74,1998-08-17,TX,199809,7285.0,7285.0,7219.0,7219.0,-81.0,-1.11,308,7219.0,7292.0,7364.9,7523.8,,,,10.549270802248875,7895.314521923426,7523.8,7152.285478076575,,,,93.96871594364227
78,1998-08-18,TX,199809,7250.0,7250.0,7165.0,7220.0,1.0,0.01,574,7220.0,7270.0,7338.2,7493.55,,,,10.68897848935868,7860.534182220455,7493.55,7126.565817779546,,,,93.32809337623925
82,1998-08-19,TX,199809,7269.0,7300.0,7260.0,7285.0,65.0,0.9,543,7285.0,7268.8,7320.5,7466.05,,,,19.490935404441558,7808.151432326753,7466.05,7123.948567673247,,,,92.37608670650788
85,1998-08-20,TX,199809,7300.0,7300.0,7253.0,7274.0,-11.0,-0.15,322,7274.0,7259.6,7296.4,7440.45,,,,19.147029525060386,7758.750157084488,7440.45,7122.149842915512,,,,89.13493765604302
89,1998-08-21,TX,199809,7255.0,7255.0,7220.0,7225.0,-49.0,-0.67,301,7225.0,7244.6,7282.4,7414.6,,,,17.652827648034755,7714.165285038144,7414.6,7115.0347149618565,,,,86.62529925203994
92,1998-08-24,TX,199809,7172.0,7175.0,6955.0,6955.0,-270.0,-3.74,919,6955.0,7191.8,7241.9,7378.35,,,,12.065487491925115,7713.971974846679,7378.35,7042.728025153322,,,,99.72349216260851
96,1998-08-25,TX,199809,6938.0,6970.0,6844.0,6949.0,-6.0,-0.09,780,6949.0,7137.6,7203.8,7343.9,,,,11.97478261494355,7706.22521303386,7343.9,6981.574786966139,,,,101.60038557956504
100,1998-08-26,TX,199809,6990.0,7014.0,6790.0,6790.0,-159.0,-2.29,839,6790.0,7038.6,7153.7,7303.4,,,,9.8594887171546,7719.287196244398,7303.4,6887.512803755601,,,,110.34321518102468
104,1998-08-27,TX,199809,6681.0,6850.0,6651.0,6835.0,45.0,0.66,1137,6835.0,6950.8,7105.2,7264.7,,,,14.464689677435077,7703.075227402283,7264.7,6826.324772597716,,,,116.67584266809435
108,1998-08-28,TX,199809,6699.0,6820.0,6655.0,6695.0,-140.0,-2.05,1285,6695.0,6844.8,7044.7,7221.85,,,,12.350627326259369,7704.790689940265,7221.85,6738.909310059736,,,,121.19899676323045
112,1998-08-29,TX,199809,6700.0,6780.0,6700.0,6728.0,33.0,0.49,698,6728.0,6799.4,6995.6,7180.25,,,,15.486130504127814,7682.463052399067,7180.25,6678.036947600933,,,,118.61335413728543
116,1998-08-31,TX,199809,6750.0,6756.0,6566.0,6566.0,-162.0,-2.41,922,6566.0,6722.8,6930.2,7134.2,,,,13.023153530128662,7682.266638284061,7134.2,6586.133361715939,,,,123.71240027033647
120,1998-09-01,TX,199809,6352.0,6410.0,6216.0,6410.0,-156.0,-2.38,1584,6410.0,6646.8,6842.7,7081.6,,,,11.179300380127472,7692.101891888963,7081.6,6471.098108111038,-302.3658534656788,-251.70892094583834,-50.65693251984047,139.87580025102673
124,1998-09-02,TX,199809,6494.0,6495.0,6380.0,6430.0,20.0,0.31,1417,6430.0,6565.8,6758.3,7027.35,,,,12.882269615201789,7666.325515962841,7027.35,6388.37448403716,-312.94626732496545,-263.95639022166375,-48.989877103301694,138.0989573759534
129,1998-09-03,TX,199809,6400.0,6400.0,6200.0,6200.0,-230.0,-3.58,1459,6200.0,6466.8,6655.8,6969.1,,,,10.410321834040108,7682.414488847663,6969.1,6255.785511152338,-336.0170044816723,-278.36851307366544,-57.64849140800686,144.6633175633853
134,1998-09-04,TX,199809,6120.0,6400.0,6120.0,6399.0,199.0,3.21,1789,6399.0,6401.0,6600.2,6921.05,,,,23.998971475563756,7651.81986117382,6921.05,6190.2801388261805,-334.38847086391524,-289.5725046317154,-44.815966232199855,154.33022345171494
138,1998-09-05,TX,199809,6420.0,6710.0,6420.0,6700.0,301.0,4.7,2198,6700.0,6427.8,6575.3,6889.55,,,,39.0562254581399,7601.153955863089,6889.55,6177.946044136911,-305.29046337577074,-292.71609638052644,-12.574366995244304,165.52092177659247
142,1998-09-07,TX,199809,6730.0,6769.0,6603.0,6719.0,19.0,0.28,1632,6719.0,6489.6,6568.2,6860.95,,,,39.866099482779255,7551.379858856072,6860.95,6170.5201411439275,-277.4981160460193,-289.672500313625,12.174384267605717,165.555141649693
