date,open,high,low,close,spread,spread_per,volume,settlement_price,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,rsi,bbands_upperband,bbands_middleband,bbands_lowerband,macd_macd,macd_macdsignal,macd_macdhist,atr,stoch_slowk,stoch_slowd,profit_or_loss_after_20_days
2010-01-04,8203.0,8211.0,8101.0,8166.0,-35.0,-0.43,84131,8167.0,,,,,,,,,,,,,,,,,-653.0
2010-01-05,8212.0,8260.0,8125.0,8178.0,11.0,0.13,108012,8178.0,,,,,,,,,,,,,,,,,-807.0
2010-01-06,8197.0,8336.0,8179.0,8320.0,142.0,1.74,120081,8321.0,,,,,,,,,,,,,,,,,-819.0
2010-01-07,8335.0,8355.0,8230.0,8259.0,-62.0,-0.75,120555,8260.0,,,,,,,,,,,,,,,,,-752.0
2010-01-08,8287.0,8297.0,8183.0,8278.0,18.0,0.22,104771,8277.0,8240.2,,,,,,,,,,,,,,,,-1077.0
2010-01-11,8278.0,8353.0,8251.0,8325.0,48.0,0.58,88096,8322.0,8272.0,,,,,,,,,,,,,,,,-1170.0
2010-01-12,8318.0,8337.0,8246.0,8308.0,-14.0,-0.17,99739,8309.0,8298.0,,,,,,,,,,,,,,,,-1148.0
2010-01-13,8259.0,8275.0,8191.0,8215.0,-94.0,-1.13,108932,8215.0,8277.0,,,,,,,,,,,,,,,,-899.0
2010-01-14,8246.0,8328.0,8236.0,8301.0,86.0,1.05,81125,8299.0,8285.4,,,,,,,,,,,,,,,,-882.0
2010-01-15,8310.0,8385.0,8307.0,8369.0,70.0,0.84,96104,8367.0,8303.6,8271.9,,,,,,,,,,,,,,,-836.0
2010-01-18,8300.0,8383.0,8286.0,8353.0,-14.0,-0.17,78516,8351.0,8309.2,8290.6,,,,,,,,,,,,,,,-818.0
2010-01-19,8370.0,8382.0,8230.0,8270.0,-81.0,-0.97,121248,8269.0,8301.6,8299.8,,,,,,,,,,,,,,,-790.0
2010-01-20,8265.0,8275.0,8171.0,8217.0,-13.0,-0.16,49055,8216.0,8302.0,8289.5,,,,,,,,,,,,,49.67688448365752,69.71827382102664,-849.0
2010-01-21,8185.0,8213.0,8112.0,8134.0,-82.0,-1.0,117077,8134.0,8268.6,8277.0,,,,,,,,,,,,,24.20774736403496,49.22615285971113,-751.0
2010-01-22,8019.0,8023.0,7884.0,7897.0,-237.0,-2.91,126740,7897.0,8174.2,8238.9,,,,,36.77482792527041,,,,,,,124.78571428571429,10.716248513551113,28.200293453747864,-322.0
2010-01-25,7822.0,7912.0,7802.0,7852.0,-45.0,-0.57,87477,7852.0,8074.0,8191.6,,,,,35.10215868890333,,,,,,,123.7295918367347,6.409915922965304,13.777970600183794,-251.0
2010-01-26,7832.0,7886.0,7520.0,7556.0,-296.0,-3.77,182130,7558.0,7931.2,8116.4,,,,,26.54833059614666,,,,,,,141.03462099125366,5.110996473756837,7.412386970091087,55.0
2010-01-27,7574.0,7633.0,7509.0,7534.0,-24.0,-0.32,116963,7535.0,7794.6,8048.3,,,,,26.040416493022267,,,,,,,139.81786234902125,5.197353440189269,5.572755278970472,-8.0
2010-01-28,7579.0,7745.0,7555.0,7699.0,164.0,2.18,117356,7697.0,7707.6,7988.1,,,,,35.93938821263853,,,,,,,144.9023007526626,9.584953808101368,6.631101240682494,-40.0
2010-01-29,7552.0,7633.0,7442.0,7580.0,-117.0,-1.52,148605,7581.0,7644.2,7909.2,8090.55,,,,32.55513515522691,8654.793732796368,8090.55,7526.306267203631,,,,152.90927927032953,13.091287592383743,9.291198280224796,175.0
2010-02-01,7569.0,7634.0,7442.0,7513.0,-68.0,-0.9,133007,7510.0,7576.4,7825.2,8057.9,,,,30.796767030418575,8674.08273263702,8057.9,7441.717267362979,,,,155.70147360816313,14.981130287452638,12.552457229312585,251.0
2010-02-02,7580.0,7603.0,7346.0,7371.0,-139.0,-1.85,143485,7374.0,7539.4,7735.3,8017.55,,,,27.416849713812695,8699.202543455951,8017.55,7335.8974565440485,,,,162.93708263615147,8.695922257096422,12.256113378977602,398.0
