date,open,high,low,close,spread,spread_per,volume,settlement_price,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_5,RSI_10,RSI_20,RSI_50,RSI_100,RSI_200,MFI_5,MFI_10,MFI_20,MFI_50,MFI_100,MFI_200,RSI,bbands_upperband,bbands_middleband,bbands_lowerband,macd_macd,macd_macdsignal,macd_macdhist,ATR,stoch_slowk,stoch_slowd,profit_or_loss_after_20_days
2020-10-05,12577.0,12620.0,12486.0,12529.0,56.0,0.45,93958,12529.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0
2020-10-06,12618.0,12704.0,12614.0,12675.0,146.0,1.17,99739,12677.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0
2020-10-07,12620.0,12758.0,12606.0,12755.0,78.0,0.62,89405,12754.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.0
2020-10-08,12831.0,12876.0,12772.0,12873.0,119.0,0.93,99102,12873.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0
2020-10-12,12935.0,12995.0,12878.0,12920.0,47.0,0.37,106219,12921.0,12750.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.0
2020-10-13,12950.0,12952.0,12816.0,12919.0,-2.0,-0.02,99008,12915.0,12828.4,,,,,,99.74489795918366,,,,,,79.80405236880237,,,,,,,,,,,,,,,,152.0
2020-10-14,12940.0,12956.0,12871.0,12888.0,-27.0,-0.21,82548,12890.0,12871.0,,,,,,90.77190946024376,,,,,,79.15159791027814,,,,,,,,,,,,,,,,375.0
2020-10-15,12838.0,12892.0,12727.0,12840.0,-50.0,-0.39,130422,12840.0,12888.0,,,,,,77.31092436974791,,,,,,55.72490132763438,,,,,,,,,,,,,,,,390.0
2020-10-16,12818.0,12865.0,12718.0,12745.0,-95.0,-0.74,116952,12748.0,12862.4,,,,,,56.560359830933706,,,,,,35.43881577136126,,,,,,,,,,,,,,,,539.0
2020-10-19,12783.0,12912.0,12782.0,12896.0,148.0,1.16,127215,12893.0,12857.6,12804.0,,,,,71.66874887137133,,,,,,37.81439083205765,,,,,,,,,,,,,,,,685.0
2020-10-20,12892.0,12905.0,12844.0,12856.0,-37.0,-0.29,100271,12855.0,12845.0,12836.7,,,,,64.26732584923181,71.5984147952444,,,,,55.76870722350393,67.04087499869789,,,,,,,,,,,,,,,769.0
2020-10-21,12820.0,12860.0,12795.0,12806.0,27.0,0.21,52203,12808.0,12828.6,12849.8,,,,,55.337819115807385,66.70313140981814,,,,,43.281148580982965,60.32832855504202,,,,,,,,,,,,,,,911.0
2020-10-22,12729.0,12839.0,12707.0,12837.0,29.0,0.23,100864,12836.0,12828.0,12858.0,,,,,59.679562742194534,68.20087931860063,,,,,45.86878950303032,50.90242540188938,,,,,,,,,,,,,47.058398047523646,55.718132788306626,903.0
2020-10-23,12865.0,12883.0,12795.0,12839.0,3.0,0.02,78710,12838.0,12846.8,12854.6,,,,,59.99320625644917,68.30308572236696,,,,,66.76723865260877,49.895999794709454,,,,,,,,,,,,,43.30663005008402,49.07572423124549,897.0
2020-10-26,12848.0,12935.0,12820.0,12858.0,20.0,0.16,90884,12860.0,12839.2,12848.4,,,,,63.37624924288819,69.34317650088244,,,,,63.91150312358942,49.08417610542359,,,,,69.15017462165308,,,,,,,123.64285714285714,52.93116912092817,47.76539907284527,1017.0
2020-10-27,12826.0,12833.0,12765.0,12807.0,-53.0,-0.41,82240,12808.0,12829.4,12837.2,,,,,49.36895399640308,63.161830756090275,,,,,41.986811216755605,49.974234202916875,,,,,64.99452908004378,,,,,,,121.45408163265306,52.504755865567546,49.58085167885991,997.0
2020-10-28,12780.0,12809.0,12713.0,12739.0,-69.0,-0.54,88057,12743.0,12816.0,12822.3,,,,,36.07883197107846,55.79364950142588,,,,,38.61257852956078,41.15669904979009,,,,,59.8315661487296,,,,,,,119.63593294460641,39.512435707743265,48.31612023141299,970.0
2020-10-29,12598.0,12640.0,12504.0,12602.0,-141.0,-1.11,119037,12603.0,12769.0,12798.5,,,,,21.501751553755145,44.240618765559724,,,,,37.24564339874524,41.74284729229708,,,,,51.035458008565236,,,,,,,127.8762234485631,26.87751862254245,39.63157006528442,1239.0
2020-10-30,12545.0,12563.0,12407.0,12414.0,-189.0,-1.5,121830,12413.0,12684.0,12765.4,,,,,12.700000107391524,33.62457434886858,,,,,18.38819948945247,41.661171839124,,,,,41.92646444228896,,,,,,,132.6707789165229,12.699554773525968,26.36316970127056,1464.0
2020-11-02,12474.0,12531.0,12402.0,12515.0,102.0,0.82,97211,12516.0,12615.4,12727.3,12765.65,,,,31.52383919041755,41.940922808061224,,,,,18.94480583574742,39.5763769690285,,,,,47.36204112589816,13050.46170973125,12765.65,12480.83829026875,,,,132.40858042248553,15.088109023440936,18.221727473169782,1207.0
2020-11-03,12611.0,12715.0,12602.0,12685.0,169.0,1.35,90467,12684.0,12591.0,12710.2,12773.45,,,,52.89399852875609,52.96272373852131,54.95552731893265,,,,36.308024448835525,38.83036179092561,53.938031127996645,,,,54.997215756850096,13039.860566607098,12773.45,12507.039433392903,,,,137.23653896373656,25.207397615934212,17.665020470967036,1192.0
2020-11-04,12770.0,12879.0,12662.0,12865.0,181.0,1.43,149906,12864.0,12616.2,12716.1,12782.95,,,,66.66358388135156,61.55007140299094,59.79526055034919,,,,58.65482302430895,49.9096533075574,55.10792506669464,,,,61.38416710236964,13048.188364495007,12782.95,12517.711635504995,,,,142.93392903775538,53.72107567229519,31.338860770556778,1091.0
2020-11-05,12924.0,12928.0,12821.0,12890.0,26.0,0.2,90854,12891.0,12673.8,12721.4,12789.7,,,,68.27364484039957,62.60365979368861,60.41703396462186,,,,78.20876803559807,59.50517763864786,55.167221436161064,,,,62.18685951760434,13058.595593121037,12789.7,12520.804406878964,,,,140.36721982077285,77.17323327079426,52.033902186341216,1096.0
