date,futures_id,contract_date,open,high,low,close,spread,spread_per,volume,settlement_price,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,rsi,bbands_upperband,bbands_middleband,bbands_lowerband,macd_macd,macd_macdsignal,macd_macdhist,atr,profit_or_loss_after_20_days
2023-01-03,TX,202301,14050.0,14247.0,13952.0,14230.0,95.0,0.67,114614,14230.0,,,,,,,,,,,,,,,1345.0
2023-01-04,TX,202301,14205.0,14271.0,14181.0,14208.0,-22.0,-0.15,69531,14209.0,,,,,,,,,,,,,,,1325.0
2023-01-05,TX,202301,14324.0,14375.0,14239.0,14289.0,80.0,0.56,77650,14289.0,,,,,,,,,,,,,,,1372.0
2023-01-06,TX,202301,14278.0,14403.0,14275.0,14364.0,75.0,0.52,78727,14366.0,,,,,,,,,,,,,,,997.0
2023-01-09,TX,202301,14618.0,14770.0,14582.0,14769.0,403.0,2.81,80242,14765.0,14372.0,,,,,,,,,,,,,,777.0
2023-01-10,TX,202301,14745.0,14829.0,14735.0,14808.0,43.0,0.29,69053,14810.0,14487.6,,,,,,,,,,,,,,625.0
2023-01-11,TX,202301,14855.0,14884.0,14746.0,14792.0,-18.0,-0.12,62375,14791.0,14604.4,,,,,,,,,,,,,,730.0
2023-01-12,TX,202301,14825.0,14840.0,14709.0,14768.0,-23.0,-0.16,68357,14766.0,14700.2,,,,,,,,,,,,,,760.0
2023-01-13,TX,202301,15000.0,15016.0,14822.0,14833.0,67.0,0.45,83193,14834.0,14794.0,,,,,,,,,,,,,,543.0
2023-01-16,TX,202301,14935.0,15004.0,14916.0,14936.0,102.0,0.69,84845,14938.0,14827.4,14599.7,,,,,,,,,,,,,661.0
2023-01-17,TX,202301,14923.0,14969.0,14906.0,14925.0,-13.0,-0.09,68548,14925.0,14850.8,14669.2,,,,,,,,,,,,,617.0
2023-01-30,TX,202302,15450.0,15532.0,15349.0,15458.0,548.0,3.68,56025,15457.0,14984.0,14794.2,,,,,,,,,,,,,86.0
2023-01-31,TX,202302,15449.0,15456.0,15265.0,15268.0,-189.0,-1.22,72954,15268.0,15084.0,14892.1,,,,,,,,,,,,,274.0
2023-02-01,TX,202302,15350.0,15402.0,15297.0,15383.0,115.0,0.75,61365,15382.0,15194.0,14994.0,,,,,,,,,,,,,236.0
2023-02-02,TX,202302,15549.0,15600.0,15468.0,15580.0,198.0,1.29,75910,15580.0,15322.8,15075.1,,,,,85.98081023454156,,,,,,,199.07142857142858,194.0
2023-02-03,TX,202302,15581.0,15629.0,15488.0,15579.0,-1.0,-0.01,71763,15581.0,15453.6,15152.2,,,,,85.93148102614539,,,,,,,194.92346938775512,295.0
2023-02-06,TX,202302,15504.0,15505.0,15391.0,15405.0,-176.0,-1.13,75333,15407.0,15443.0,15213.5,,,,,77.59001508553213,,,,,,,194.42893586005832,380.0
2023-02-07,TX,202302,15383.0,15447.0,15366.0,15396.0,-11.0,-0.07,65134,15397.0,15468.6,15276.3,,,,,77.17273092731554,,,,,,,186.32686901291132,371.0
2023-02-08,TX,202302,15475.0,15624.0,15474.0,15604.0,207.0,1.34,72141,15604.0,15512.8,15353.4,,,,,79.86754226620536,,,,,,,189.3035212262748,-120.0
2023-02-09,TX,202302,15549.0,15608.0,15530.0,15601.0,-3.0,-0.02,56658,15600.0,15517.0,15419.9,15009.8,,,,79.72136100129867,15958.478997343165,15009.8,14061.121002656833,,,,181.3532697101123,-81.0
2023-02-10,TX,202302,15596.0,15598.0,15520.0,15575.0,-25.0,-0.16,87442,15577.0,15516.2,15484.9,15077.05,,,,78.3823733212212,15984.890398968924,15077.05,14169.209601031074,,,,174.18517901653286,-223.0
2023-02-13,TX,202302,15510.0,15547.0,15431.0,15533.0,-44.0,-0.28,100940,15532.0,15541.8,15492.4,15143.3,,,,76.15715207627986,15978.252956758677,15143.3,14308.347043241321,,,,172.02909480106624,-205.0
2023-02-14,TX,202302,15633.0,15682.0,15588.0,15661.0,129.0,0.83,76846,15658.0,15594.8,15531.7,15211.9,,,,78.18936179834725,15977.37995401582,15211.9,14446.42004598418,,,,170.38415945813293,-434.0
2023-02-15,TX,202303,15495.0,15533.0,15360.0,15361.0,-284.0,-1.82,61273,15366.0,15546.2,15529.5,15261.75,,,,64.34635807267749,15922.56672950978,15261.75,14600.93327049022,,,,179.71386235398057,42.0
2023-02-16,TX,202303,15458.0,15599.0,15451.0,15546.0,180.0,1.17,81731,15543.0,15535.2,15526.1,15300.6,,,,68.09733805468362,15931.66303964021,15300.6,14669.53696035979,,,,183.8771579001248,-173.0
2023-02-17,TX,202303,15428.0,15475.0,15384.0,15433.0,-110.0,-0.71,71212,15436.0,15506.8,15511.5,15331.85,,,,63.68974247133619,15922.873950445279,15331.85,14740.826049554722,,,,182.31450376440162,22.0
