date,futures_id,contract_date,open,high,low,close,spread,spread_per,volume,settlement_price,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,rsi,bbands_upperband,bbands_middleband,bbands_lowerband,macd_macd,macd_macdsignal,macd_macdhist,atr,profit_or_loss_after_20_days
2024-01-02,TX,202401,17838.0,17920.0,17751.0,17798.0,-72.0,-0.4,82827,17800.0,,,,,,,,,,,,,,283.0
2024-01-03,TX,202401,17658.0,17667.0,17507.0,17546.0,-254.0,-1.43,97851,17545.0,,,,,,,,,,,,,,374.0
2024-01-04,TX,202401,17525.0,17583.0,17525.0,17546.0,1.0,0.01,57402,17550.0,,,,,,,,,,,,,,440.0
2024-01-05,TX,202401,17577.0,17626.0,17491.0,17519.0,-31.0,-0.18,77062,17518.0,,,,,,,,,,,,,,565.0
2024-01-08,TX,202401,17572.0,17706.0,17568.0,17595.0,77.0,0.44,86585,17595.0,17600.8,,,,,,,,,,,,,491.0
2024-01-09,TX,202401,17770.0,17782.0,17526.0,17545.0,-50.0,-0.28,96286,17547.0,17550.2,,,,,,,,,,,,,1122.0
2024-01-10,TX,202401,17509.0,17521.0,17439.0,17458.0,-89.0,-0.51,70327,17460.0,17532.6,,,,,,,,,,,,,1176.0
2024-01-11,TX,202401,17490.0,17606.0,17481.0,17575.0,115.0,0.66,86899,17570.0,17538.4,,,,,,,,,,,,,1096.0
2024-01-12,TX,202401,17466.0,17570.0,17447.0,17489.0,-81.0,-0.46,83946,17487.0,17532.4,,,,,,,,,,,,,1264.0
2024-01-15,TX,202401,17580.0,17655.0,17527.0,17559.0,72.0,0.41,137809,17554.0,17525.2,17563.0,,,,,,,,,,,,1133.0
2024-01-16,TX,202401,17480.0,17499.0,17321.0,17333.0,-221.0,-1.26,123488,17333.0,17482.8,17516.5,,,,,,,,,,,,1556.0
2024-01-17,TX,202402,17329.0,17365.0,17217.0,17235.0,-127.0,-0.73,62898,17235.0,17438.2,17485.4,,,,,,,,,,,,1678.0
2024-01-18,TX,202402,17240.0,17326.0,17215.0,17280.0,45.0,0.26,90702,17282.0,17379.2,17458.8,,,,,,,,,,,,1683.0
