日期,期貨代號,多單成交口數_外資,多單成交口數_投信,多單成交口數_自營商,多單成交金額_外資,多單成交金額_投信,多單成交金額_自營商,多單未平倉口數_外資,多單未平倉口數_投信,多單未平倉口數_自營商,多單未平倉金額_外資,多單未平倉金額_投信,多單未平倉金額_自營商,空單成交口數_外資,空單成交口數_投信,空單成交口數_自營商,空單成交金額_外資,空單成交金額_投信,空單成交金額_自營商,空單未平倉口數_外資,空單未平倉口數_投信,空單未平倉口數_自營商,空單未平倉金額_外資,空單未平倉金額_投信,空單未平倉金額_自營商
2018-06-05,TX,43660,53,16010,96744874,117320,35407810,72646,1716,8394,160633794,3798881,18097645,44337,393,16344,98256299,870142,36136490,24929,26133,10601,54946371,57853235,23059521
2018-06-06,TX,54950,393,20806,122352058,879606,46271438,78562,1688,8355,175707537,3780445,18215510,46849,105,24824,104329549,234643,55254918,22750,25817,14585,50702057,57819753,32277896
2018-06-07,TX,51972,121,17719,116473656,271318,39631422,76369,1720,7732,171233679,3862088,16849179,55267,292,16482,123877249,655602,36852701,23852,26020,12725,53302760,58425308,28169463
2018-06-08,TX,49370,10,15711,110244773,22222,35016021,74893,1656,8011,166386759,3684600,17322894,50896,547,16126,113658864,1217113,35906302,23902,26493,13416,52929841,58946925,29420384
2018-06-11,TX,46731,6,13583,103962131,13353,30169835,74625,1530,7033,165817366,3405168,15146695,47318,199,14911,105273154,443246,33125032,24220,26560,13766,53638811,59111936,30207913
2018-06-12,TX,63025,16,20829,139946701,35612,46205536,74397,1486,6976,165429259,3311105,15042924,63225,117,20476,140447536,259650,45398398,24185,26617,13338,53621552,59307999,29253275
2018-06-13,TX,44501,49,17674,99040954,109314,39305968,73295,1522,7541,162999521,3392842,16342462,45143,36,16649,100504597,79946,36998259,23726,26640,12508,52612599,59385888,27424783
2018-06-14,TX,56504,3216,19396,124695478,7100255,42787908,71217,1609,6653,155849438,3527360,14204198,62462,3785,19736,138084905,8184828,43443279,27606,27296,11913,60335160,59792705,25683033
2018-06-15,TX,78011,13207,17179,170780893,29053940,37682522,76582,1668,7525,167885980,3658251,16183597,76662,13199,17723,168487110,28440242,38852295,31625,27315,13139,69483165,59577736,28489804
2018-06-19,TX,126360,11501,28214,273937143,25051158,61352684,75873,1422,8909,162174412,3033570,18915682,132088,12402,25214,286904682,26505097,54760132,36684,27972,11239,78365389,59473388,23839038
2018-06-20,TX,81585,806,32720,175724156,1735774,70737769,64890,1364,5556,139333973,2929489,11737308,79172,524,39116,170745887,1123135,84543612,29722,27635,11316,63785115,59352981,24116854
2018-06-21,TX,47306,252,14808,101388023,539659,31704990,63832,1390,6389,136653683,2976438,13487211,51197,26,14033,109729021,55631,30040122,32555,27435,11368,69660777,58747869,24156039
2018-06-22,TX,61710,527,15332,131302103,1123835,32581112,64051,1895,5959,136459880,4038138,12504506,63161,70,17578,134375280,149137,37351468,34225,27483,13156,72877316,58564849,27836182
2018-06-25,TX,48106,80,14994,102288666,169552,31849477,63228,1914,6395,133807724,4051448,13344740,48907,95,12989,103987755,201361,27574649,34210,27517,11597,72351003,58246562,24340057
2018-06-26,TX,73503,84,21693,154999814,176720,45720800,62355,1900,6868,132059084,4024853,14356481,75087,108,21519,158341871,227550,45335872,34939,27527,11880,73950863,58312481,24947190
2018-06-27,TX,54011,55,17781,114320574,116321,37609264,62285,1888,7115,131461987,3985839,14851608,52961,358,16608,112110714,755699,35109947,33823,27818,10900,71344087,58728654,22808780
2018-06-28,TX,73612,40,18728,155079565,84403,39407808,64424,1899,6677,135550108,3996531,13886948,75521,41,20078,159126981,86242,42239959,37871,27830,11802,79639896,58570322,24646420
2018-06-29,TX,71601,1060,18180,151656005,2262981,38512829,67957,2006,7336,145078400,4283506,15470478,66309,0,17421,140406976,0,36960944,36112,26877,11692,77049206,57392438,24769164
