date,商品名稱,合約類型,前五大交易員買方未平倉量,前五大交易員買方未平倉量百分比,前十大交易員買方未平倉量,前十大交易員買方未平倉量百分比,前五大交易員賣方未平倉量,前五大交易員賣方未平倉量百分比,前十大交易員賣方未平倉量,前十大交易員賣方未平倉量百分比,全體未平倉量,buy_top5_specific_open_interest,buy_top5_specific_open_interest_per,buy_top10_specific_open_interest,buy_top10_specific_open_interest_per,sell_top5_specific_open_interest,sell_top5_specific_open_interest_per,sell_top10_specific_open_interest,sell_top10_specific_open_interest_per,期貨代號
2018-06-05,臺股期貨,all,56598,48.4,71326,61.0,39171,33.5,49232,42.1,116860,56598,48.4,63096,54.0,36551,31.3,40145,34.4,TX
2018-06-06,臺股期貨,all,59348,47.3,76219,60.7,38910,31.0,50403,40.2,125517,59348,47.3,67323,53.6,31385,25.0,38286,30.5,TX
2018-06-07,臺股期貨,all,58544,48.0,74181,60.8,37836,31.0,48914,40.1,122017,58544,48.0,65053,53.3,34513,28.3,38613,31.6,TX
2018-06-08,臺股期貨,all,58028,48.0,74215,61.4,39062,32.3,50080,41.4,120878,58028,48.0,64318,53.2,33022,27.3,39726,32.9,TX
2018-06-11,臺股期貨,all,56959,47.0,72402,59.7,39459,32.5,50257,41.5,121234,56959,47.0,60910,50.2,36361,30.0,39825,32.8,TX
2018-06-12,臺股期貨,all,56366,46.8,71924,59.8,40200,33.4,51065,42.4,120314,56366,46.8,62887,52.3,37440,31.1,40940,34.0,TX
2018-06-13,臺股期貨,all,54316,45.5,70512,59.0,40638,34.0,50995,42.7,119439,54316,45.5,60941,51.0,37633,31.5,41142,34.4,TX
2018-06-14,臺股期貨,all,52697,44.7,67969,57.7,42980,36.5,53478,45.4,117816,52697,44.7,61552,52.2,40141,34.1,44603,37.9,TX
2018-06-15,臺股期貨,all,53797,43.5,72218,58.5,45502,36.8,57611,46.6,123536,53797,43.5,64757,52.4,42078,34.1,47421,38.4,TX
2018-06-19,臺股期貨,all,54480,44.1,72582,58.7,44797,36.2,57092,46.2,123616,54480,44.1,64398,52.1,41758,33.8,50129,40.6,TX
2018-06-20,臺股期貨,all,54954,55.8,66584,67.6,45317,46.0,54442,55.2,98562,54954,55.8,59762,60.6,40674,41.3,46075,46.7,TX
2018-06-21,臺股期貨,all,53559,50.9,65824,62.6,45868,43.6,55105,52.4,105217,53559,50.9,58866,55.9,41683,39.6,47086,44.8,TX
2018-06-22,臺股期貨,all,51136,47.1,63140,58.2,49425,45.5,59358,54.7,108570,51136,47.1,56268,51.8,43995,40.5,49927,46.0,TX
2018-06-25,臺股期貨,all,51384,46.8,62496,57.0,47994,43.7,58241,53.1,109726,51384,46.8,56074,51.1,44167,40.3,52235,47.6,TX
2018-06-26,臺股期貨,all,50986,46.1,61800,55.9,47471,42.9,58315,52.7,110619,50986,46.1,56393,51.0,43094,39.0,51655,46.7,TX
2018-06-27,臺股期貨,all,50378,44.9,61093,54.5,48003,42.8,58457,52.1,112114,50378,44.9,55984,49.9,44009,39.3,50338,44.9,TX
2018-06-28,臺股期貨,all,51719,44.2,62838,53.7,49759,42.5,61121,52.2,117027,51719,44.2,57524,49.2,45168,38.6,52017,44.4,TX
2018-06-29,臺股期貨,all,53295,45.3,65813,56.0,49345,42.0,60929,51.8,117599,53295,45.3,58506,49.8,44154,37.5,49245,41.9,TX
2018-07-02,臺股期貨,all,50357,44.7,61864,54.9,44991,39.9,56365,50.0,112646,50357,44.7,56754,50.4,44991,39.9,46994,41.7,TX
2018-07-03,臺股期貨,all,52566,46.6,64335,57.0,49157,43.6,59692,52.9,112850,48657,43.1,55897,49.5,49157,43.6,50841,45.1,TX
2018-07-04,臺股期貨,all,52929,46.8,64588,57.2,48707,43.1,59294,52.5,113007,49180,43.5,55639,49.2,48707,43.1,52236,46.2,TX
2018-07-05,臺股期貨,all,52701,43.7,64035,53.1,51943,43.1,64256,53.3,120634,48200,40.0,54231,45.0,51943,43.1,55582,46.1,TX
2018-07-06,臺股期貨,all,53638,44.1,65182,53.6,52157,42.9,67215,55.2,121673,49266,40.5,55480,45.6,52157,42.9,52157,42.9,TX
2018-07-09,臺股期貨,all,55035,45.2,66605,54.7,49368,40.5,65212,53.6,121753,51436,42.2,58515,48.1,49368,40.5,49368,40.5,TX
2018-07-10,臺股期貨,all,56700,48.5,68210,58.4,45195,38.7,61221,52.4,116879,52655,45.1,59463,50.9,45195,38.7,47606,40.7,TX
2018-07-11,臺股期貨,all,56505,48.7,67397,58.1,45998,39.6,60939,52.5,116101,52110,44.9,57935,49.9,45998,39.6,48188,41.5,TX
2018-07-12,臺股期貨,all,58207,47.6,71556,58.5,45018,36.8,59685,48.8,122372,53701,43.9,61962,50.6,40812,33.4,47245,38.6,TX
2018-07-13,臺股期貨,all,59543,47.3,72779,57.8,45797,36.4,60475,48.1,125841,53902,42.8,61335,48.7,40905,32.5,48973,38.9,TX
2018-07-16,臺股期貨,all,63402,50.7,77579,62.1,45498,36.4,61061,48.9,124964,56739,45.4,64374,51.5,39495,31.6,48264,38.6,TX
