日期,多單未平倉口數,空單未平倉口數,未沖銷契約數,小台三大法人未平倉量,散戶多單,散戶空單,多空比
2018-06-05,21832,10568,53166,32400,31334,42598,-0.21186472557649624
2018-06-06,29101,11946,61543,41047,32442,49597,-0.2787481923208163
2018-06-07,28689,14657,59488,43346,30799,44831,-0.23587950511027433
2018-06-08,27850,17594,58457,45444,30607,40863,-0.17544519903518827
2018-06-11,27792,20402,59918,48194,32126,39516,-0.12333522480723656
2018-06-12,28289,21495,60310,49784,32021,38815,-0.11265130160835682
2018-06-13,27968,21958,61602,49926,33634,39644,-0.09756176747508198
2018-06-14,23315,27135,59709,50450,36394,32574,0.06397695489792159
2018-06-15,24242,26787,59954,51029,35712,33167,0.042449211061814054
2018-06-19,21959,31152,59016,53111,37057,27864,0.15577131625321947
2018-06-20,12775,12859,40061,25634,27286,27202,0.0020968023763760267
2018-06-21,11943,15017,37979,26960,26036,22962,0.08093946654730245
2018-06-22,10856,19470,40605,30326,29749,21135,0.2121413619012437
2018-06-25,9673,18922,41376,28595,31703,22454,0.22353538283062646
2018-06-26,8884,20044,42877,28928,33993,22833,0.260279403876204
2018-06-27,8462,21569,44292,30031,35830,22723,0.29592251422378757
2018-06-28,9177,25370,47203,34547,38026,21833,0.3430502298582717
2018-06-29,11918,21418,46774,33336,34856,25356,0.20310428870740155
2018-07-02,11610,19706,43744,31316,32134,24038,0.1850768105340161
2018-07-03,11300,20032,42761,31332,31461,22729,0.20420476602511634
2018-07-04,11817,21095,44533,32912,32716,23438,0.20833988278355378
2018-07-05,12157,27867,51125,40024,38968,23258,0.30728606356968213
2018-07-06,12276,27045,49131,39321,36855,22086,0.3006045063198388
2018-07-09,15503,25005,50403,40508,34900,25398,0.1885205245719501
2018-07-10,17149,22293,48285,39442,31136,25992,0.10653412032722377
2018-07-11,15825,23049,47234,38874,31409,24185,0.15294067832493544
2018-07-12,20464,20331,51975,40795,31511,31644,-0.0025589225589225588
2018-07-13,24620,19463,54768,44083,30148,35305,-0.09416082383873794
2018-07-16,25976,19852,54069,45828,28093,34217,-0.11326268286818694
2018-07-17,24652,23317,53223,47969,28571,29906,-0.02508314074742123
2018-07-18,14058,12668,43452,26726,29394,30784,-0.03198932155021633
2018-07-19,18100,13790,41144,31890,23044,27354,-0.10475403461014972
2018-07-20,26812,14412,48090,41224,21278,33678,-0.2578498648367644
2018-07-23,25055,13144,47761,38199,22706,34617,-0.24938757563702602
2018-07-24,23998,13678,50766,37676,26768,37088,-0.2032856636331403
2018-07-25,23642,13257,50520,36899,26878,37263,-0.20556215360253366
2018-07-26,28665,13808,54680,42473,26015,40872,-0.27170811997073885
2018-07-27,33969,16504,64072,50473,30103,47568,-0.2725839680359595
2018-07-30,33007,15380,59383,48387,26376,44003,-0.29683579475607497
2018-07-31,34237,15535,61627,49772,27390,46092,-0.3034708812695734
2018-08-01,34441,15054,63678,49495,29237,48624,-0.30445365746411635
2018-08-02,21590,18212,58167,39802,36577,39955,-0.05807416576409304
2018-08-03,23589,18308,61276,41897,37687,42968,-0.0861838240094001
2018-08-06,24686,18416,60874,43102,36188,42458,-0.1029996385977593
2018-08-07,24665,18937,60972,43602,36307,42035,-0.09394476152988257
2018-08-08,28428,20412,67107,48840,38679,46695,-0.1194510259734454
2018-08-09,29049,19682,63620,48731,34571,43938,-0.1472335743476894
2018-08-10,26689,20006,61738,46695,35049,41732,-0.1082477566490654
2018-08-13,20285,28795,62228,49080,41943,33433,0.13675515844957253
2018-08-14,21133,26813,57138,47946,36005,30325,0.09940844971822604
2018-08-15,14193,20613,56040,34806,41847,35427,0.1145610278372591
