日期,未沖銷契約數
2018-06-05,105924
2018-06-06,112680
2018-06-07,109476
2018-06-08,108511
2018-06-11,108428
2018-06-12,107456
2018-06-13,106747
2018-06-14,105285
2018-06-15,111195
2018-06-19,111591
2018-06-20,107506
2018-06-21,96438
2018-06-22,99105
2018-06-25,100133
2018-06-26,100696
2018-06-27,101958
2018-06-28,106020
2018-06-29,106466
2018-07-02,102217
2018-07-03,102649
2018-07-04,102438
2018-07-05,108571
2018-07-06,110119
2018-07-09,109882
2018-07-10,105650
2018-07-11,105046
2018-07-12,110285
2018-07-13,113119
2018-07-16,112678
2018-07-17,120250
2018-07-18,117561
2018-07-19,99555
2018-07-20,105157
2018-07-23,104920
2018-07-24,106665
2018-07-25,105768
2018-07-26,107083
2018-07-27,115312
2018-07-30,111977
2018-07-31,113337
2018-08-01,117360
2018-08-02,117080
2018-08-03,116779
2018-08-06,114266
2018-08-07,115134
2018-08-08,121069
2018-08-09,115911
2018-08-10,113970
2018-08-13,115730
2018-08-14,111060
2018-08-15,116562
2018-08-16,100773
2018-08-17,104563
2018-08-20,105535
2018-08-21,106516
2018-08-22,102181
2018-08-23,103613
2018-08-24,101773
2018-08-27,103027
2018-08-28,105236
2018-08-29,113658
2018-08-30,114925
2018-08-31,109952
2018-09-03,108763
2018-09-04,110101
2018-09-05,108931
2018-09-06,109226
2018-09-07,108707
2018-09-10,111514
2018-09-11,107110
2018-09-12,107059
2018-09-13,108654
2018-09-14,110725
2018-09-17,110548
2018-09-18,106557
2018-09-19,105871
2018-09-20,88802
2018-09-21,90273
2018-09-25,93387
2018-09-26,92018
2018-09-27,96454
2018-09-28,96503
2018-10-01,100454
2018-10-02,100456
2018-10-03,97893
2018-10-04,107612
2018-10-05,112580
2018-10-08,116362
2018-10-09,117922
2018-10-11,116646
2018-10-12,113963
2018-10-15,118789
2018-10-16,128109
2018-10-17,127753
2018-10-18,94296
2018-10-19,96022
2018-10-22,94341
2018-10-23,99326
2018-10-24,96882
2018-10-25,101517
2018-10-26,100021
2018-10-29,97188
2018-10-30,98967
2018-10-31,98997
2018-11-01,100008
2018-11-02,101229
2018-11-05,98754
2018-11-06,102100
2018-11-07,104903
2018-11-08,108283
2018-11-09,106927
2018-11-12,106583
2018-11-13,105242
2018-11-14,106045
2018-11-15,104084
2018-11-16,105726
2018-11-19,115686
2018-11-20,120242
2018-11-21,121694
2018-11-22,93746
2018-11-23,95261
2018-11-26,95237
2018-11-27,95584
2018-11-28,98812
2018-11-29,97804
2018-11-30,97819
2018-12-03,103140
2018-12-04,98754
2018-12-05,97574
2018-12-06,100598
2018-12-07,99874
2018-12-10,99359
2018-12-11,99814
2018-12-12,98540
2018-12-13,99913
2018-12-14,97794
2018-12-17,100626
2018-12-18,107297
2018-12-19,105976
2018-12-20,92575
2018-12-21,92310
2018-12-22,95281
2018-12-24,94894
2018-12-25,98585
2018-12-26,99507
2018-12-27,99822
2018-12-28,98665
2019-01-02,101881
2019-01-03,100700
2019-01-04,100935
2019-01-07,100588
2019-01-08,96119
2019-01-09,100057
2019-01-10,96395
2019-01-11,100102
2019-01-14,96287
2019-01-15,108386
2019-01-16,97982
2019-01-17,89764
2019-01-18,93318
2019-01-21,97521
2019-01-22,97039
2019-01-23,94278
2019-01-24,95147
2019-01-25,103614
2019-01-28,102204
2019-01-29,97662
2019-01-30,93685
2019-02-11,95505
2019-02-12,102030
2019-02-13,101817
2019-02-14,100604
2019-02-15,99541
2019-02-18,106936
2019-02-19,117756
2019-02-20,118112
2019-02-21,100291
2019-02-22,96211
2019-02-25,98128
2019-02-26,98305
2019-02-27,97969
2019-03-04,98495
2019-03-05,96933
2019-03-06,99707
2019-03-07,100053
2019-03-08,100325
2019-03-11,101601
2019-03-12,103421
2019-03-13,101223
2019-03-14,100599
2019-03-15,111658
2019-03-18,116378
2019-03-19,124176
2019-03-20,119531
2019-03-21,106673
2019-03-22,105744
2019-03-25,103618
2019-03-26,105714
2019-03-27,103136
2019-03-28,105561
2019-03-29,107993
2019-04-01,107786
2019-04-02,107279
2019-04-03,104403
2019-04-08,108977
2019-04-09,114169
2019-04-10,111184
2019-04-11,108728
2019-04-12,108267
2019-04-15,118109
2019-04-16,120249
2019-04-17,119463
2019-04-18,105000
2019-04-19,106778
2019-04-22,106646
2019-04-23,106660
2019-04-24,105159
2019-04-25,108938
2019-04-26,105386
2019-04-29,106557
2019-04-30,106577
2019-05-02,107156
2019-05-03,113100
2019-05-06,105491
2019-05-07,108150
2019-05-08,106849
2019-05-09,111605
2019-05-10,112427
2019-05-13,126812
2019-05-14,122401
2019-05-15,117122
2019-05-16,93128
2019-05-17,100225
2019-05-20,99848
2019-05-21,99969
2019-05-22,92988
2019-05-23,94919
2019-05-24,93249
2019-05-27,92560
2019-05-28,92826
2019-05-29,93914
2019-05-30,96093
2019-05-31,96366
2019-06-03,93266
2019-06-04,92354
2019-06-05,95407
2019-06-06,96576
2019-06-10,103101
2019-06-11,100491
2019-06-12,97366
2019-06-13,95766
2019-06-14,102057
2019-06-17,117111
2019-06-18,123475
2019-06-19,128682
2019-06-20,100294
2019-06-21,107291
2019-06-24,108984
2019-06-25,108446
2019-06-26,108699
2019-06-27,112719
2019-06-28,109510
2019-07-01,114346
2019-07-02,109784
2019-07-03,101939
2019-07-04,101617
2019-07-05,100224
2019-07-08,99171
2019-07-09,102581
2019-07-10,104294
2019-07-11,107727
2019-07-12,110588
2019-07-15,108118
2019-07-16,106145
2019-07-17,100018
2019-07-18,85203
2019-07-19,89296
2019-07-22,94818
2019-07-23,92791
2019-07-24,91079
2019-07-25,90462
2019-07-26,90487
