date,futures_id,contract_date,open,max,min,close,spread,spread_per,volume,settlement_price,open_interest,trading_session
1998-07-21,TX,199809,8131.0,8131.0,8036.0,8045.0,0.0,0.0,208,8045.0,137,position
1998-07-22,TX,199809,7950.0,7950.0,7820.0,7870.0,-175.0,-2.18,360,7870.0,279,position
1998-07-23,TX,199809,7830.0,7859.0,7802.0,7825.0,-45.0,-0.57,190,7825.0,357,position
1998-07-24,TX,199809,7750.0,7835.0,7740.0,7835.0,10.0,0.13,340,7835.0,420,position
1998-07-27,TX,199809,7830.0,7835.0,7780.0,7786.0,-49.0,-0.63,150,7786.0,466,position
1998-07-28,TX,199809,7809.0,7830.0,7741.0,7742.0,-44.0,-0.57,264,7742.0,496,position
1998-07-29,TX,199809,7710.0,7729.0,7657.0,7680.0,-62.0,-0.8,323,7680.0,555,position
1998-07-30,TX,199809,7665.0,7678.0,7620.0,7638.0,-42.0,-0.55,222,7638.0,580,position
1998-07-31,TX,199809,7660.0,7683.0,7600.0,7600.0,-38.0,-0.5,257,7600.0,622,position
1998-08-01,TX,199809,7557.0,7609.0,7550.0,7609.0,9.0,0.12,378,7609.0,712,position
1998-08-03,TX,199809,7640.0,7657.0,7542.0,7552.0,-57.0,-0.75,293,7552.0,790,position
1998-08-04,TX,199809,7555.0,7600.0,7548.0,7560.0,8.0,0.11,302,7560.0,855,position
1998-08-05,TX,199809,7510.0,7520.0,7470.0,7487.0,-73.0,-0.97,455,7487.0,922,position
1998-08-06,TX,199809,7515.0,7525.0,7451.0,7462.0,-25.0,-0.33,270,7462.0,971,position
1998-08-07,TX,199809,7480.0,7520.0,7452.0,7515.0,53.0,0.71,453,7515.0,1049,position
1998-08-10,TX,199809,7500.0,7500.0,7350.0,7365.0,-150.0,-2.0,345,7365.0,1048,position
1998-08-11,TX,199809,7316.0,7379.0,7316.0,7360.0,-5.0,-0.07,386,7360.0,1093,position
1998-08-12,TX,199809,7335.0,7335.0,7281.0,7330.0,-30.0,-0.41,384,7330.0,1205,position
1998-08-13,TX,199809,7360.0,7378.0,7291.0,7291.0,-39.0,-0.53,496,7291.0,1280,position
1998-08-14,TX,199809,7275.0,7326.0,7140.0,7320.0,29.0,0.4,528,7320.0,1339,position
